0.0000,0.0063,0.0000,0.6113
0.0435,0.0091,0.0435,0.6279
0.0870,0.0611,0.0870,0.6307
0.1304,0.0565,0.1304,0.6151
0.1739,0.0687,0.1739,0.6423
0.2174,0.0470,0.2174,0.6359
0.2609,0.0686,0.2609,0.6435
0.3043,0.1165,0.3043,0.6295
0.3478,0.1882,0.3478,0.6616
0.3913,0.1443,0.3913,0.6477
0.4348,0.2192,0.4348,0.6664
0.4783,0.2749,0.4783,0.6774
0.5217,0.2506,0.5217,0.6460
0.5652,0.2850,0.5652,0.6593
0.6087,0.3105,0.6087,0.6546
0.6522,0.3988,0.6522,0.6710
0.6957,0.3874,0.6957,0.6942
0.7391,0.4479,0.7391,0.6818
0.7826,0.4727,0.7826,0.6810
0.8261,0.4967,0.8261,0.6810
0.8696,0.5944,0.8696,0.6725
0.9130,0.5815,0.9130,0.7041
0.9565,0.6435,0.9565,0.7119
1.0000,0.6894,1.0000,0.6964
1.0435,0.6936,1.0435,0.7187
1.0870,0.7439,1.0870,0.7100
1.1304,0.7512,1.1304,0.7240
1.1739,0.7590,1.1739,0.7096
1.2174,0.8272,1.2174,0.7110
1.2609,0.8650,1.2609,0.7014
1.3043,0.8967,1.3043,0.7255
1.3478,0.8880,1.3478,0.7085
1.3913,0.8664,1.3913,0.7193
1.4348,0.9438,1.4348,0.7199
1.4783,0.9138,1.4783,0.7473
1.5217,0.9393,1.5217,0.7557
1.5652,0.9459,1.5652,0.7556
1.6087,0.9910,1.6087,0.7583
1.6522,0.9928,1.6522,0.7352
1.6957,0.9980,1.6957,0.7415
1.7391,0.9939,1.7391,0.7504
1.7826,0.9973,1.7826,0.7717
1.8261,1.0303,1.8261,0.7467
1.8696,1.0472,1.8696,0.7645
1.9130,1.0405,1.9130,0.7674
1.9565,0.9932,1.9565,0.7947
2.0000,1.0199,2.0000,0.7681
2.0435,1.0308,2.0435,0.7663
2.0870,1.0230,2.0870,0.7945
2.1304,0.9900,2.1304,0.7877
2.1739,1.0008,2.1739,0.7795
2.2174,1.0375,2.2174,0.7796
2.2609,0.9996,2.2609,0.8026
2.3043,1.0358,2.3043,0.7926
2.3478,1.0224,2.3478,0.8199
2.3913,1.0599,2.3913,0.8229
2.4348,1.0494,2.4348,0.8103
2.4783,1.0688,2.4783,0.8189
2.5217,1.0404,2.5217,0.8361
2.5652,1.0363,2.5652,0.8131
2.6087,1.0383,2.6087,0.8389
2.6522,1.0129,2.6522,0.8493
2.6957,1.0576,2.6957,0.8380
2.7391,1.0562,2.7391,0.8310
2.7826,1.0431,2.7826,0.8355
2.8261,1.0237,2.8261,0.8565
2.8696,1.0704,2.8696,0.8417
2.9130,1.0278,2.9130,0.8643
2.9565,1.0474,2.9565,0.8433
3.0000,1.0011,3.0000,0.8443
